Fraction Removed,LCC Size,Number of Components
0.1016,1883,99
0.1018,1882,99
0.1020,1881,99
0.1022,1879,100
0.1024,1878,100
0.1026,1877,100
0.1028,1876,100
0.1030,1873,102
0.1032,1872,102
0.1034,1871,102
0.1036,1867,104
0.1038,1864,105
0.1040,1862,106
0.1042,1861,106
0.1044,1860,106
0.1046,1858,107
0.1048,1857,107
0.1050,1854,108
0.1052,1851,110
0.1054,1850,110
0.1056,1849,110
0.1058,1848,110
0.1060,1846,111
0.1062,1845,111
0.1064,1844,111
0.1066,1843,111
0.1068,1842,111
0.1070,1841,111
0.1072,1838,112
0.1074,1836,113
0.1076,1834,114
0.1078,1832,115
0.1080,1831,115
0.1082,1830,115
0.1084,1829,115
0.1086,1828,115
0.1088,1827,115
0.1090,1826,115
0.1092,1825,115
0.1094,1824,115
0.1096,1822,116
0.1098,1821,116
0.1100,1820,116
0.1102,1819,116
0.1104,1818,116
0.1106,1817,116
0.1108,1815,117
0.1110,1814,117
0.1112,1811,119
0.1114,1809,120
0.1116,1808,120
0.1118,1807,120
0.1120,1805,121
0.1122,1804,121
0.1124,1803,121
0.1126,1802,121
0.1128,1799,122
0.1130,1798,122
0.1132,1796,123
0.1134,1795,123
0.1136,1794,123
0.1138,1723,125
0.1140,1722,125
0.1142,1721,125
0.1144,1717,126
0.1146,1715,127
0.1148,1683,130
0.1150,1682,130
0.1152,1681,130
0.1154,1680,130
0.1156,1679,130
0.1158,1678,130
0.1160,1672,132
0.1162,1670,133
0.1164,1669,133
0.1166,1668,133
0.1168,1667,133
0.1170,1665,134
0.1172,1662,136
0.1174,1661,136
0.1176,1659,137
0.1178,1658,137
0.1180,1657,137
0.1182,1656,137
0.1184,1651,139
0.1186,1650,139
0.1188,1649,139
0.1190,1648,139
0.1192,1647,139
0.1194,1646,139
0.1196,1645,139
0.1198,1644,139
0.1200,1643,139
0.1202,1642,139
0.1204,1641,139
0.1206,1640,139
0.1208,1639,139
0.1210,1638,139
0.1212,1635,140
0.1214,1631,141
0.1216,1628,143
0.1218,1621,144
0.1220,1618,146
0.1222,1617,146
0.1224,1616,146
0.1226,1615,146
0.1228,1614,146
0.1230,1612,147
0.1232,1608,148
0.1234,1607,148
0.1236,1606,148
0.1238,1603,150
0.1240,1602,150
0.1242,1599,151
0.1244,1598,151
0.1246,1596,152
0.1248,1595,152
0.1250,1594,152
0.1252,1593,152
0.1254,1592,152
0.1256,1591,152
0.1258,1590,152
0.1260,1588,153
0.1262,1585,155
0.1264,1584,155
0.1266,1583,155
0.1268,1582,155
0.1270,1581,155
0.1272,1579,156
0.1274,1578,156
0.1276,1577,156
0.1278,1574,158
0.1280,1570,160
0.1282,1569,160
0.1284,1568,160
0.1286,1563,163
0.1288,1559,165
0.1290,1555,168
0.1292,1547,170
0.1294,1546,170
0.1296,1545,170
0.1298,1542,171
0.1300,1541,171
0.1302,1540,171
0.1304,1539,171
0.1306,1538,171
0.1308,1529,173
0.1310,1528,173
0.1312,797,174
0.1314,797,175
0.1316,797,176
0.1318,797,178
0.1320,795,179
0.1322,794,179
0.1324,681,180
0.1326,680,180
0.1328,679,180
0.1330,678,180
0.1332,672,182
0.1334,481,185
0.1336,480,185
0.1338,377,187
0.1340,377,187
0.1342,377,188
0.1344,377,191
0.1346,375,192
0.1348,281,194
0.1350,281,197
0.1352,279,198
0.1354,188,200
0.1356,166,202
0.1358,166,204
0.1360,166,206
0.1362,148,208
0.1364,129,209
0.1366,129,210
0.1368,127,212
0.1370,127,215
0.1372,127,216
0.1374,126,216
0.1376,94,217
0.1378,92,220
0.1380,92,223
0.1382,83,226
0.1384,83,230
0.1386,83,232
0.1388,83,234
0.1390,69,236
0.1392,68,239
0.1394,68,241
0.1396,68,243
0.1398,68,245
0.1400,68,248
0.1402,68,250
0.1404,68,253
0.1406,68,255
0.1408,60,257
0.1410,60,259
0.1412,60,260
0.1414,51,262
0.1416,46,264
0.1418,46,267
0.1420,44,272
0.1422,44,275
0.1424,44,278
