Fraction Removed,LCC Size,Number of Components
0.1030,1985,1
0.1032,1984,1
0.1034,1983,1
0.1036,1982,1
0.1038,1981,1
0.1040,1980,1
0.1042,1979,1
0.1044,1978,1
0.1046,1977,1
0.1048,1976,1
0.1050,1975,1
0.1052,1974,1
0.1054,1973,1
0.1056,1972,1
0.1058,1971,1
0.1060,1970,1
0.1062,1969,1
0.1064,1968,1
0.1066,1967,1
0.1068,1966,1
0.1070,1965,1
0.1072,1964,1
0.1074,1963,1
0.1076,1962,1
0.1078,1961,1
0.1080,1960,1
0.1082,1959,1
0.1084,1958,1
0.1086,1957,1
0.1088,1956,1
0.1090,1955,1
0.1092,1954,1
0.1094,1953,1
0.1096,1952,1
0.1098,1951,1
0.1100,1950,1
0.1102,1949,1
0.1104,1948,1
0.1106,1947,1
0.1108,1946,1
0.1110,1945,1
0.1112,1944,1
0.1114,1943,1
0.1116,1942,1
0.1118,1941,1
0.1120,1940,1
0.1122,1939,1
0.1124,1938,1
0.1126,1937,1
0.1128,1936,1
0.1130,1935,1
0.1132,1934,1
0.1134,1933,1
0.1136,1932,1
0.1138,1931,1
0.1140,1930,1
0.1142,1929,1
0.1144,1928,1
0.1146,1927,1
0.1148,1926,1
0.1150,1925,1
0.1152,1924,1
0.1154,1923,1
0.1156,1922,1
0.1158,1921,1
0.1160,1920,1
0.1162,1919,1
0.1164,1918,1
0.1166,1917,1
0.1168,1916,1
0.1170,1915,1
0.1172,1914,1
0.1174,1913,1
0.1176,1912,1
0.1178,1911,1
0.1180,1910,1
0.1182,1909,1
0.1184,1908,1
0.1186,1907,1
0.1188,1906,1
0.1190,1905,1
0.1192,1904,1
0.1194,1903,1
0.1196,1902,1
0.1198,1901,1
0.1200,1900,1
0.1202,1899,1
0.1204,1898,1
0.1206,1897,1
0.1208,1896,1
0.1210,1895,1
0.1212,1894,1
0.1214,1893,1
0.1216,1892,1
0.1218,1891,1
0.1220,1890,1
0.1222,1889,1
0.1224,1888,1
0.1226,1887,1
0.1228,1886,1
0.1230,1885,1
0.1232,1884,1
0.1234,1883,1
