Fraction Removed,LCC Size,Number of Components
0.2160,1404,16
0.2162,1403,16
0.2164,1402,16
0.2166,1401,16
0.2168,1400,16
0.2170,1399,16
0.2172,1397,17
0.2174,1396,17
0.2176,1395,17
0.2178,1394,17
0.2180,1393,17
0.2182,1392,17
0.2184,1391,17
0.2186,1390,17
0.2188,1389,17
0.2190,1388,17
0.2192,1387,17
0.2194,1386,17
0.2196,1385,17
0.2198,1384,17
0.2200,1383,17
0.2202,1382,17
0.2204,1381,17
0.2206,1380,17
0.2208,1380,16
0.2210,1379,16
0.2212,1378,16
0.2214,1377,16
0.2216,1376,16
0.2218,1375,16
0.2220,1374,16
0.2222,1373,16
0.2224,1372,16
0.2226,1371,16
0.2228,1370,16
0.2230,1368,17
0.2232,1367,17
0.2234,1366,17
0.2236,1365,17
0.2238,1364,17
0.2240,1363,17
0.2242,1362,17
0.2244,1361,17
0.2246,1360,17
0.2248,1359,17
0.2250,1358,17
0.2252,1357,17
0.2254,1356,17
0.2256,1355,17
0.2258,1354,17
0.2260,1353,17
0.2262,1352,17
0.2264,1351,17
0.2266,1350,17
0.2268,1349,17
0.2270,1348,17
0.2272,1347,17
0.2274,1346,17
0.2276,1345,17
0.2278,1344,17
0.2280,1343,17
0.2282,1342,17
0.2284,1341,17
0.2286,1340,17
0.2288,1338,18
0.2290,1337,18
0.2292,1336,18
0.2294,1335,18
0.2296,1334,18
0.2298,1333,18
0.2300,1331,19
0.2302,1330,19
0.2304,1329,19
0.2306,1328,19
0.2308,1327,19
0.2310,1326,19
0.2312,1325,19
0.2314,1324,19
0.2316,1323,19
0.2318,1322,19
0.2320,1322,18
0.2322,1321,18
0.2324,1320,18
0.2326,1319,18
0.2328,1318,18
0.2330,1317,18
0.2332,1316,18
0.2334,1315,18
0.2336,1314,18
0.2338,1313,18
0.2340,1312,18
0.2342,1311,18
0.2344,1310,18
0.2346,1309,18
0.2348,1307,19
0.2350,1306,19
0.2352,1305,19
0.2354,1304,19
0.2356,1303,19
0.2358,1301,20
0.2360,1300,20
0.2362,1299,20
0.2364,1298,20
0.2366,1297,20
0.2368,1296,20
0.2370,1295,20
0.2372,1294,20
0.2374,1293,20
0.2376,1292,20
0.2378,1291,20
0.2380,1290,20
0.2382,1289,20
0.2384,1288,20
0.2386,1287,20
0.2388,1286,20
0.2390,1285,20
0.2392,1284,20
0.2394,1283,20
0.2396,1282,20
0.2398,1280,21
0.2400,1278,22
0.2402,1277,22
0.2404,1276,22
0.2406,1275,22
0.2408,1274,22
0.2410,1273,22
0.2412,1272,22
0.2414,1271,22
0.2416,1270,22
0.2418,1269,22
0.2420,1268,22
0.2422,1267,22
0.2424,1266,22
0.2426,1265,22
0.2428,1264,22
0.2430,1263,22
0.2432,1262,22
0.2434,1261,22
0.2436,1259,23
0.2438,1258,23
0.2440,1258,22
0.2442,1257,22
0.2444,1256,22
0.2446,1255,22
0.2448,1254,22
0.2450,1253,22
0.2452,1252,22
0.2454,1251,22
0.2456,1250,22
0.2458,1249,22
0.2460,1248,22
0.2462,1247,22
0.2464,1245,23
0.2466,1244,23
0.2468,1243,23
0.2470,1242,23
0.2472,1241,23
0.2474,1240,23
0.2476,1239,23
0.2478,1238,23
0.2480,1237,23
0.2482,1236,23
0.2484,1235,23
0.2486,1234,23
0.2488,1233,23
0.2490,1232,23
0.2492,1230,24
0.2494,1229,24
0.2496,1228,24
0.2498,1227,24
0.2500,1226,24
0.2502,1225,24
0.2504,1224,24
0.2506,1224,23
0.2508,1221,24
0.2510,1220,24
0.2512,1219,24
0.2514,1218,24
0.2516,1217,24
0.2518,1216,24
0.2520,1215,24
0.2522,1214,24
0.2524,1213,24
0.2526,1212,24
0.2528,1211,24
0.2530,1210,24
0.2532,1208,25
0.2534,1207,25
0.2536,1206,25
0.2538,1205,25
0.2540,1204,25
0.2542,1203,25
0.2544,1201,26
0.2546,1200,26
0.2548,1199,26
0.2550,1198,26
0.2552,1197,26
0.2554,1196,26
0.2556,1195,26
0.2558,1194,26
0.2560,1193,26
0.2562,1192,26
0.2564,1191,26
0.2566,1190,26
0.2568,1189,26
0.2570,1188,26
0.2572,1187,26
0.2574,1186,26
0.2576,1185,26
0.2578,1184,26
0.2580,1183,26
0.2582,1182,26
0.2584,1180,27
0.2586,1179,27
0.2588,1179,26
0.2590,1178,26
0.2592,1177,26
0.2594,1176,26
0.2596,1175,26
0.2598,1174,26
0.2600,1173,26
0.2602,1172,26
0.2604,1171,26
0.2606,1170,26
0.2608,1169,26
0.2610,1168,26
0.2612,1166,27
0.2614,1165,27
0.2616,1164,27
0.2618,1163,27
0.2620,1162,27
0.2622,1161,27
0.2624,1160,27
0.2626,1159,27
0.2628,1158,27
0.2630,1157,27
0.2632,1156,27
0.2634,1155,27
0.2636,1154,27
0.2638,1154,26
0.2640,1153,26
0.2642,1151,27
0.2644,1149,28
0.2646,1148,28
0.2648,1146,29
0.2650,1145,29
0.2652,1144,29
0.2654,1142,30
0.2656,1141,30
0.2658,1140,30
0.2660,1139,30
0.2662,1138,30
0.2664,1137,30
0.2666,1136,30
0.2668,1135,30
0.2670,1133,31
0.2672,1132,31
0.2674,1131,31
0.2676,1129,32
0.2678,1128,32
0.2680,1127,32
0.2682,1126,32
0.2684,1124,33
0.2686,1123,33
0.2688,1122,33
0.2690,1121,33
0.2692,1120,33
0.2694,1119,33
0.2696,1118,33
0.2698,1117,33
0.2700,1116,33
0.2702,1115,33
0.2704,1114,33
0.2706,1113,33
0.2708,1112,33
0.2710,1111,33
0.2712,1110,33
0.2714,1109,33
0.2716,1108,33
0.2718,1106,34
0.2720,1105,34
0.2722,1103,35
0.2724,1102,35
0.2726,1101,35
0.2728,1100,35
0.2730,1099,35
0.2732,1098,35
0.2734,1097,35
0.2736,1096,35
0.2738,1095,35
0.2740,1094,35
0.2742,1093,35
0.2744,1092,35
0.2746,1091,35
0.2748,1090,35
0.2750,1089,35
0.2752,1088,35
0.2754,1087,35
0.2756,1086,35
0.2758,1084,36
0.2760,1083,36
0.2762,1082,36
0.2764,1082,35
0.2766,1081,35
0.2768,1080,35
0.2770,1079,35
0.2772,1078,35
0.2774,1077,35
0.2776,1076,35
0.2778,1075,35
0.2780,1074,35
0.2782,1073,35
0.2784,1072,35
