Fraction Removed,LCC Size,Number of Components
0.1248,1815,20
0.1250,1814,20
0.1252,1813,20
0.1254,1812,20
0.1256,1811,20
0.1258,1810,20
0.1260,1809,20
0.1262,1808,20
0.1264,1807,20
0.1266,1806,20
0.1268,1805,20
0.1270,1804,20
0.1272,1803,20
0.1274,1802,20
0.1276,1801,20
0.1278,1800,20
0.1280,1799,20
0.1282,1798,20
0.1284,1797,20
0.1286,1796,20
0.1288,1795,20
0.1290,1688,21
0.1292,1687,21
0.1294,1686,21
0.1296,1685,21
0.1298,1684,21
0.1300,1683,21
0.1302,1682,21
0.1304,1681,21
0.1306,1680,21
0.1308,1677,22
0.1310,1676,22
0.1312,1675,22
0.1314,1674,22
0.1316,1647,23
0.1318,1646,23
0.1320,1646,23
0.1322,1645,23
0.1324,1644,23
0.1326,1643,23
0.1328,1642,23
0.1330,1642,23
0.1332,1641,23
0.1334,1640,23
0.1336,1639,23
0.1338,1638,23
0.1340,1637,23
0.1342,1636,23
0.1344,1635,23
0.1346,1635,23
0.1348,1634,23
0.1350,1633,23
0.1352,1632,23
0.1354,1631,23
0.1356,1630,23
0.1358,1629,23
0.1360,1628,23
0.1362,1627,23
0.1364,1626,23
0.1366,1625,23
0.1368,1624,23
0.1370,1623,23
0.1372,1622,23
0.1374,1621,23
0.1376,1620,23
0.1378,1619,23
0.1380,1618,23
0.1382,1617,23
0.1384,1616,23
0.1386,1615,23
0.1388,1614,23
0.1390,1614,22
0.1392,1613,22
0.1394,1612,22
0.1396,1611,22
0.1398,1610,22
0.1400,1610,22
0.1402,1610,23
0.1404,1609,23
0.1406,1608,23
0.1408,1607,23
0.1410,1606,23
0.1412,1605,23
0.1414,1604,23
0.1416,1603,23
0.1418,1602,23
0.1420,1602,24
0.1422,1601,24
0.1424,1600,24
0.1426,1600,25
0.1428,1599,25
0.1430,1598,25
0.1432,1597,25
0.1434,1596,25
0.1436,1595,25
0.1438,1594,25
0.1440,1589,26
0.1442,1588,26
0.1444,1587,26
0.1446,1586,26
0.1448,1586,26
0.1450,1586,26
0.1452,1585,26
0.1454,1584,26
0.1456,1583,26
0.1458,1582,26
0.1460,1581,26
0.1462,1580,26
0.1464,1579,26
0.1466,1579,27
0.1468,1578,27
0.1470,1577,27
0.1472,1577,27
0.1474,1576,27
0.1476,1575,27
0.1478,1574,27
0.1480,1573,27
0.1482,1572,27
0.1484,1571,27
0.1486,1571,27
0.1488,1570,27
0.1490,1569,27
0.1492,1568,27
0.1494,1567,27
0.1496,1566,27
0.1498,1565,27
0.1500,1564,27
0.1502,1563,27
0.1504,1562,27
0.1506,1561,27
0.1508,1560,27
0.1510,1559,27
0.1512,1558,27
0.1514,1557,27
0.1516,1556,27
0.1518,1555,27
0.1520,1554,27
0.1522,1554,27
0.1524,1553,27
0.1526,1552,27
0.1528,1551,27
0.1530,1550,27
0.1532,1549,27
0.1534,1548,27
0.1536,1547,27
0.1538,1546,27
0.1540,1545,27
0.1542,1544,27
0.1544,1543,27
0.1546,1542,27
0.1548,1539,28
0.1550,1538,28
0.1552,1537,28
0.1554,1537,28
0.1556,1537,28
0.1558,1536,28
0.1560,1536,28
0.1562,1535,28
0.1564,1534,28
